COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
KIR,100512.000000000,37106.000000000,80983.000000000,218601.000000000,183.000000000,84.000000000,31.000000000,68.000000000,2021-05-26,2023-02-06,2023-01-29
KIR,100900.000000000,37606.000000000,81474.000000000,219980.000000000,184.000000000,84.000000000,31.000000000,68.000000000,2021-05-26,2023-02-06,2023-02-26
KIR,100900.000000000,37606.000000000,81474.000000000,219980.000000000,184.000000000,84.000000000,31.000000000,68.000000000,2021-05-26,2023-02-06,2023-03-26
KIR,100900.000000000,37606.000000000,81474.000000000,219980.000000000,184.000000000,84.000000000,31.000000000,68.000000000,2021-05-26,2023-02-06,2023-04-30
POL,1358203.000000000,,746933.000000000,2105136.000000000,6.000000000,4.000000000,,2.000000000,2020-12-23,2023-12-23,2021-01-31
POL,2425962.000000000,,1335671.000000000,3761633.000000000,10.000000000,6.000000000,,4.000000000,2020-12-23,2023-10-01,2021-02-28
POL,4133376.000000000,,2020227.000000000,6153607.000000000,16.000000000,11.000000000,,5.000000000,2020-12-23,2023-12-23,2021-03-28
POL,8608030.000000000,,2967948.000000000,11575984.000000000,30.000000000,23.000000000,,8.000000000,2020-12-23,2023-12-23,2021-04-25
POL,13788015.000000000,,7072881.000000000,20860901.000000000,55.000000000,36.000000000,,19.000000000,2020-12-23,2023-12-23,2021-05-30
POL,16921905.000000000,,12283859.000000000,29632893.000000000,78.000000000,45.000000000,,32.000000000,2020-12-23,2023-12-23,2021-06-27
POL,17889135.000000000,,15775672.000000000,33527520.000000000,88.000000000,47.000000000,,42.000000000,2020-12-23,2023-12-23,2021-07-25
POL,18505867.000000000,,16332581.000000000,34838788.000000000,92.000000000,49.000000000,,43.000000000,2020-12-23,2023-12-23,2021-08-29
POL,19072334.000000000,,16693705.000000000,35821694.000000000,94.000000000,50.000000000,,44.000000000,2020-12-23,2023-12-23,2021-09-26
POL,20511738.000000000,,17756701.000000000,38350954.000000000,101.000000000,54.000000000,,47.000000000,2020-12-23,2023-12-23,2021-10-31
POL,20954119.000000000,,18053931.000000000,39008049.000000000,103.000000000,55.000000000,,48.000000000,2020-12-23,2023-12-23,2021-11-28
POL,21744553.000000000,,18442896.000000000,45876872.000000000,121.000000000,57.000000000,,49.000000000,2020-12-23,2023-12-23,2021-12-26
POL,22424325.000000000,1508277.000000000,21660400.000000000,51748011.000000000,136.000000000,59.000000000,4.000000000,57.000000000,2020-12-23,2023-12-23,2022-01-30
POL,22620234.000000000,11179435.000000000,22221314.000000000,53310323.000000000,140.000000000,60.000000000,29.000000000,59.000000000,2020-12-23,2023-12-23,2022-02-27
POL,22693978.000000000,11634777.000000000,22380390.000000000,53973788.000000000,142.000000000,60.000000000,31.000000000,59.000000000,2020-12-23,2023-12-23,2022-03-27
POL,22766329.000000000,11911722.000000000,22469946.000000000,54360103.000000000,143.000000000,60.000000000,31.000000000,59.000000000,2020-12-23,2023-12-23,2022-04-24
POL,22817188.000000000,12036204.000000000,22519161.000000000,54553091.000000000,144.000000000,60.000000000,32.000000000,59.000000000,2020-12-23,2023-12-23,2022-05-29
POL,22830860.000000000,12096311.000000000,22535624.000000000,54639664.000000000,144.000000000,60.000000000,32.000000000,59.000000000,2020-12-23,2023-12-23,2022-06-26
POL,22845883.000000000,12199321.000000000,22550952.000000000,54769437.000000000,144.000000000,60.000000000,32.000000000,59.000000000,2020-12-23,2023-12-23,2022-07-31
POL,22865092.000000000,12319861.000000000,22571546.000000000,54925842.000000000,145.000000000,60.000000000,32.000000000,59.000000000,2020-12-23,2023-12-23,2022-08-28
POL,22894390.000000000,12387719.000000000,22613404.000000000,56759263.000000000,150.000000000,60.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2022-09-25
POL,22904953.000000000,12445138.000000000,22629801.000000000,57561578.000000000,152.000000000,60.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2022-10-30
